geo,indicator,date,month,value,unit,sub_indicator_short
FR,population_by_age_group,2023,,12.0,%,Proportion of population aged 15-24 years
FR,population_by_age_group,2024,,11.9,%,Proportion of population aged 15-24 years
FR,population_by_age_group,2025,,11.9,%,Proportion of population aged 15-24 years
FR,population_by_age_group,2016,,31.7,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2017,,31.4,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2018,,31.2,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2019,,31.0,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2020,,30.7,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2021,,30.6,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2022,,30.5,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2023,,30.4,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2024,,30.3,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2025,,30.3,%,Proportion of population aged 25-49 years
FR,population_by_age_group,2016,,19.2,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2017,,19.2,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2018,,19.2,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2019,,19.2,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2020,,19.2,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2021,,19.2,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2022,,19.3,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2023,,19.3,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2024,,19.3,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2025,,19.3,%,Proportion of population aged 50-64 years
FR,population_by_age_group,2016,,13.0,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2017,,13.3,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2018,,13.6,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2019,,13.9,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2020,,14.3,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2021,,14.6,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2022,,14.9,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2023,,15.2,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2024,,15.4,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2025,,15.7,%,Proportion of population aged 65-79 years
FR,population_by_age_group,2016,,5.9,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2017,,6.0,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2018,,6.0,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2019,,6.1,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2020,,6.1,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2021,,6.1,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2022,,6.0,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2023,,5.9,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2024,,6.1,%,Proportion of population aged 80 years and more
FR,population_by_age_group,2025,,6.2,%,Proportion of population aged 80 years and more
DE,population_by_age_group,2016,,13.2,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2017,,13.4,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2018,,13.5,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2019,,13.6,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2020,,13.7,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2021,,13.8,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2022,,13.9,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2023,,14.0,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2024,,13.9,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2025,,13.9,%,Proportion of population aged 0-14 years
DE,population_by_age_group,2016,,10.7,%,Proportion of population aged 15-24 years
DE,population_by_age_group,2017,,10.6,%,Proportion of population aged 15-24 years
DE,population_by_age_group,2018,,10.5,%,Proportion of population aged 15-24 years
DE,population_by_age_group,2019,,10.4,%,Proportion of population aged 15-24 years
DE,population_by_age_group,2020,,10.3,%,Proportion of population aged 15-24 years
DE,population_by_age_group,2021,,10.1,%,Proportion of population aged 15-24 years
DE,population_by_age_group,2022,,10.0,%,Proportion of population aged 15-24 years
DE,population_by_age_group,2023,,10.0,%,Proportion of population aged 15-24 years
DE,population_by_age_group,2024,,10.0,%,Proportion of population aged 15-24 years
